path,system_id,gt_label,gt_class,n_nodes,duration_s
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Veena/piratesofersatz_05_leinster_64kb_f000047.wav,Veena,TTS,0,41,6.40
"/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Resemble.ai (April 12th, 2025)/rinkitink_baum_21_64kb_f000019.wav","Resemble.ai (April 12th, 2025)",TTS,0,44,5.95
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/MiniCPM-o-2.6/the_sea_fairies_06_f000141.wav,MiniCPM-o-2.6,TTS,0,41,2.03
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/OpenVoiceV2/midnight_passenger_10_f000210.wav,OpenVoiceV2,TTS,0,44,2.86
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/parler_tts_mini_v0.1/jane_eyre_21_f000033.wav,parler_tts_mini_v0.1,TTS,0,43,10.16
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Indri-TTS-0.1/wives_and_daughters_10_f000305.wav,Indri-TTS-0.1,TTS,0,40,6.64
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/e2-tts/rinkitink_baum_18_64kb_f000126.wav,e2-tts,TTS,0,44,11.03
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/NeuTTS-Air/pink_fairy_book_37_f000029.wav,NeuTTS-Air,TTS,0,42,7.30
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Spark-TTS-0.5B/midnight_passenger_11_f000190.wav,Spark-TTS-0.5B,TTS,0,40,3.40
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/VoxCPM-0.5B/northandsouth_43_f000045.wav,VoxCPM-0.5B,TTS,0,40,3.92
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/sesame_csm/wives_and_daughters_56_f000171.wav,sesame_csm,TTS,0,43,13.28
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Supertonic/midnight_passenger_12_f000049.wav,Supertonic,TTS,0,43,8.41
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Nari Dia2/jane_eyre_12_f000094.wav,Nari Dia2,TTS,0,40,9.76
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/orpheus-tts-0.1-finetune/wives_and_daughters_52_f000061.wav,orpheus-tts-0.1-finetune,TTS,0,42,6.40
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/MegaTTS3/midnight_passenger_01_f000048.wav,MegaTTS3,TTS,0,43,8.72
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/microsoft_speecht5_tts/skyisland_12_baum_64kb_f000046.wav,microsoft_speecht5_tts,TTS,0,49,9.41
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Index-TTS-1.5/poisoned_pen_11_f000350.wav,Index-TTS-1.5,TTS,0,46,6.31
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Cartesia.ai (Sonic-3)/northandsouth_15_f000170.wav,Cartesia.ai (Sonic-3),TTS,0,45,2.14
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Index-TTS-2.0/northandsouth_48_f000059.wav,Index-TTS-2.0,TTS,0,45,5.34
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Microsoft VibeVoice Large/silent_bullet_03_f000123.wav,Microsoft VibeVoice Large,TTS,0,47,4.67
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Kani-TTS-370M/rinkitink_baum_20_64kb_f000029.wav,Kani-TTS-370M,TTS,0,46,6.56
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Microsoft VibeVoice 1.5B/jane_eyre_05_f000057.wav,Microsoft VibeVoice 1.5B,TTS,0,45,4.93
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/RVC/jane_eyre_05_f000072.wav,RVC,TTS,0,49,7.94
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/DeepGram/northandsouth_03_f000104.wav,DeepGram,TTS,0,48,8.92
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Metavoice-1B/piratesofersatz_04_leinster_64kb_f000086.wav,Metavoice-1B,TTS,0,46,5.64
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Openaudio-S1-Mini/piratesofersatz_04_leinster_64kb_f000112.wav,Openaudio-S1-Mini,TTS,0,49,6.87
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/facebook_mms-tts-eng/pink_fairy_book_33_f000116.wav,facebook_mms-tts-eng,TTS,0,47,9.18
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/WhisperSpeech/silent_bullet_02_f000211.wav,WhisperSpeech,TTS,0,47,9.79
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Qwen2.5-Omni/midnight_passenger_06_f000160.wav,Qwen2.5-Omni,TTS,0,45,7.15
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Ringg Squirrel TTS v1.0/jane_eyre_25_f000066.wav,Ringg Squirrel TTS v1.0,TTS,0,46,9.18
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/MatchaTTS/jane_eyre_31_f000164.wav,MatchaTTS,TTS,0,47,1.79
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/NeuTTS-Air/piratesofersatz_08_leinster_64kb_f000084.wav,NeuTTS-Air,TTS,0,46,7.98
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Marvis-TTS/emerald_city_of_oz_09_f000040.wav,Marvis-TTS,TTS,0,48,10.00
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/griffin_lim/poisoned_pen_09_f000046.wav,griffin_lim,TTS,0,48,5.43
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/MatchaTTS/northandsouth_49_f000014.wav,MatchaTTS,TTS,0,49,4.99
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/optispeech/jane_eyre_08_f000037.wav,optispeech,TTS,0,53,3.53
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Cartesia.ai (Sonic-3)/midnight_passenger_02_f000156.wav,Cartesia.ai (Sonic-3),TTS,0,51,6.51
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Microsoft VibeVoice Large/the_master_key_10_f000116.wav,Microsoft VibeVoice Large,TTS,0,53,8.93
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Edge-TTS/skyisland_15_baum_64kb_f000029.wav,Edge-TTS,TTS,0,51,9.79
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Mars5/poisoned_pen_05_f000088.wav,Mars5,TTS,0,52,8.02
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/OuteTTS/poisoned_pen_12_f000163.wav,OuteTTS,TTS,0,53,14.49
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Kitten-TTS-Nano-0.1/silent_bullet_11_f000141.wav,Kitten-TTS-Nano-0.1,TTS,0,51,9.30
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Index-TTS-2.0/silent_bullet_03_f000263.wav,Index-TTS-2.0,TTS,0,51,6.22
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/zonosTTS-v0.1/pink_fairy_book_40_f000191.wav,zonosTTS-v0.1,TTS,0,54,3.97
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/MeloTTS/wives_and_daughters_10_f000150.wav,MeloTTS,TTS,0,50,9.45
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Llasa-8B/midnight_passenger_03_f000047.wav,Llasa-8B,TTS,0,54,7.62
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/parler_tts_mini_v1/ozma_of_oz_02_f000012.wav,parler_tts_mini_v1,TTS,0,52,9.03
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Nari Dia-1.6B/wives_and_daughters_52_f000170.wav,Nari Dia-1.6B,TTS,0,52,5.91
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Chatterbox/pink_fairy_book_12_f000071.wav,Chatterbox,TTS,0,53,6.48
"/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Resemble.ai (April 12th, 2025)/northandsouth_07_f000016.wav","Resemble.ai (April 12th, 2025)",TTS,0,56,6.05
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/vixTTS/dorothy_and_wizard_oz_01_f000033.wav,vixTTS,TTS,0,55,4.60
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Kitten-TTS-Nano-0.1/northandsouth_16_f000026.wav,Kitten-TTS-Nano-0.1,TTS,0,55,5.83
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Step-Audio-EditX/jane_eyre_15_f000195.wav,Step-Audio-EditX,TTS,0,55,6.60
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/OuteTTS/pink_fairy_book_25_f000091.wav,OuteTTS,TTS,0,55,4.84
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Maya1 TTS/the_sea_fairies_17_f000043.wav,Maya1 TTS,TTS,0,55,2.39
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/minimax_speech-2.6-hd/poisoned_pen_08_f000115.wav,minimax_speech-2.6-hd,TTS,0,56,7.65
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Ringg Squirrel TTS v1.0/wives_and_daughters_51_f000100.wav,Ringg Squirrel TTS v1.0,TTS,0,58,6.85
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T21/task1/team21_intra-TEM1_SEF2_E30002.wav,T21,VC,1,29,2.92
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T18/task1/team18_intra-TEF1_SEM2_E30003.wav,T18,VC,1,27,2.38
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T28/task1/team28_intra-TEM1_SEM1_E30005.wav,T28,VC,1,28,3.50
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T28/task1/team28_intra-TEM1_SEF2_E30004.wav,T28,VC,1,34,2.84
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T26/task1/team26_intra-TEM2_SEM2_E30003.wav,T26,VC,1,34,2.09
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T03/task1/team03_intra-TEM2_SEF2_E30003.wav,T03,VC,1,34,2.54
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T26/task1/team26_intra-TEF1_SEM2_E30005.wav,T26,VC,1,34,2.39
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T09/task1/team09_intra-TEM1_SEF1_E30001.wav,T09,VC,1,39,3.42
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T18/task1/team18_intra-TEF1_SEF2_E30001.wav,T18,VC,1,37,4.17
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T20/task1/team20_intra-TEM1_SEF2_E30002.wav,T20,VC,1,36,2.88
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T17/task1/team17_intra-TEF2_SEF2_E30002.wav,T17,VC,1,35,2.91
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T28/task1/team28_intra-TEM2_SEF1_E30003.wav,T28,VC,1,36,2.80
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T13/task1/team13_intra-TEF1_SEM1_E30004.wav,T13,VC,1,38,2.70
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T14/task1/team14_intra-TEM2_SEF2_E30003.wav,T14,VC,1,39,2.26
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T21/task1/team21_intra-TEM1_SEM1_E30004.wav,T21,VC,1,42,2.67
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T19/task1/team19_intra-TEF2_SEM1_E30003.wav,T19,VC,1,43,2.90
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T29/task1/team29_intra-TEM2_SEM1_E30005.wav,T29,VC,1,44,3.08
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T19/task1/team19_intra-TEM2_SEM1_E30003.wav,T19,VC,1,43,2.90
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T18/task1/team18_intra-TEM2_SEM1_E30004.wav,T18,VC,1,40,2.67
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T27/task1/team27_intra-TEM1_SEM2_E30004.wav,T27,VC,1,42,2.56
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T09/task1/team09_intra-TEM1_SEM1_E30002.wav,T09,VC,1,42,2.61
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T12/task1/team12_intra-TEF2_SEF2_E30005.wav,T12,VC,1,41,3.30
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T21/task1/team21_intra-TEF1_SEM2_E30001.wav,T21,VC,1,40,3.61
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T07/task1/team07_intra-TEM2_SEF2_E30002.wav,T07,VC,1,40,2.92
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T16/task1/team16_intra-TEM2_SEM2_E30001.wav,T16,VC,1,42,3.60
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T06/task1/team06_intra-TEM1_SEF2_E30004.wav,T06,VC,1,42,2.72
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T24/task1/team24_intra-TEF1_SEM1_E30005.wav,T24,VC,1,44,3.10
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T30/task1/team30_intra-TEM2_SEM1_E30005.wav,T30,VC,1,43,3.26
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T31/task1/team31_intra-TEM2_SEM2_E30005.wav,T31,VC,1,43,2.91
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T06/task1/team06_intra-TEM2_SEF2_E30004.wav,T06,VC,1,43,2.72
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T25/task1/team25_intra-TEF1_SEM2_E30001.wav,T25,VC,1,48,3.60
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T03/task1/team03_intra-TEM1_SEM1_E30001.wav,T03,VC,1,48,4.08
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T25/task1/team25_intra-TEF1_SEM1_E30003.wav,T25,VC,1,45,2.92
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T04/task1/team04_intra-TEF1_SEM1_E30005.wav,T04,VC,1,45,3.11
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T11/task1/team11_intra-TEM2_SEM1_E30003.wav,T11,VC,1,48,2.83
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T11/task1/team11_intra-TEM2_SEF2_E30002.wav,T11,VC,1,45,2.83
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T14/task1/team14_intra-TEM2_SEM2_E30001.wav,T14,VC,1,46,2.80
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T01/task1/team01_intra-TEF2_SEF2_E30003.wav,T01,VC,1,49,2.32
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T14/task1/team14_intra-TEM2_SEM1_E30004.wav,T14,VC,1,49,1.59
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T24/task1/team24_intra-TEM1_SEM1_E30005.wav,T24,VC,1,47,3.10
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T20/task1/team20_intra-TEM2_SEF1_E30003.wav,T20,VC,1,49,2.24
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T02/task1/team02_intra-TEF2_SEF2_E30005.wav,T02,VC,1,47,3.26
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T04/task1/team04_intra-TEM1_SEM2_E30005.wav,T04,VC,1,47,2.72
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T32/task1/team32_intra-TEF1_SEF1_E30004.wav,T32,VC,1,47,2.33
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T01/task1/team01_intra-TEM1_SEM1_E30003.wav,T01,VC,1,48,2.72
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T23/task1/team23_intra-TEM1_SEF2_E30001.wav,T23,VC,1,49,3.86
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T17/task1/team17_intra-TEF2_SEM1_E30003.wav,T17,VC,1,47,2.91
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T07/task1/team07_intra-TEM1_SEF1_E30005.wav,T07,VC,1,45,2.44
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T16/task1/team16_intra-TEM1_SEM1_E30004.wav,T16,VC,1,45,2.67
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T02/task1/team02_intra-TEM1_SEM1_E30004.wav,T02,VC,1,47,2.63
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T27/task1/team27_intra-TEF2_SEF1_E30003.wav,T27,VC,1,54,2.43
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T27/task1/team27_intra-TEM2_SEM1_E30002.wav,T27,VC,1,51,2.37
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T23/task1/team23_intra-TEM1_SEM2_E30003.wav,T23,VC,1,50,2.35
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T07/task1/team07_intra-TEF2_SEM2_E30001.wav,T07,VC,1,53,3.61
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T19/task1/team19_intra-TEM2_SEM2_E30004.wav,T19,VC,1,50,2.13
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T08/task1/team08_intra-TEM1_SEM2_E30001.wav,T08,VC,1,51,3.60
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T29/task1/team29_intra-TEF2_SEM1_E30005.wav,T29,VC,1,51,2.70
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T12/task1/team12_intra-TEF2_SEM1_E30001.wav,T12,VC,1,51,4.31
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T10/task1/team10_intra-TEM1_SEM2_E30001.wav,T10,VC,1,54,3.84
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T26/task1/team26_intra-TEF1_SEM1_E30003.wav,T26,VC,1,50,2.39
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T31/task1/team31_intra-TEF1_SEM2_E30002.wav,T31,VC,1,53,2.40
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T24/task1/team24_intra-TEM2_SEF1_E30005.wav,T24,VC,1,52,2.43
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T02/task1/team02_intra-TEF1_SEM2_E30002.wav,T02,VC,1,53,2.24
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T17/task1/team17_intra-TEM2_SEF1_E30004.wav,T17,VC,1,52,2.14
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T23/task1/team23_intra-TEF1_SEF1_E30001.wav,T23,VC,1,59,2.62
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T30/task1/team30_intra-TEF2_SEF1_E30001.wav,T30,VC,1,58,3.58
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T01/task1/team01_intra-TEF2_SEF1_E30003.wav,T01,VC,1,57,2.24
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T10/task1/team10_intra-TEF2_SEF1_E30004.wav,T10,VC,1,55,2.24
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T32/task1/team32_intra-TEF2_SEM1_E30004.wav,T32,VC,1,57,2.10
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T08/task1/team08_intra-TEM2_SEF1_E30001.wav,T08,VC,1,59,3.41
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T25/task1/team25_intra-TEF2_SEF1_E30004.wav,T25,VC,1,56,2.14
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T31/task1/team31_intra-TEF1_SEF2_E30005.wav,T31,VC,1,55,2.62
