condition,seed,attack_system,n_spoof,eer
robust_goat,123,Maya1 TTS,17,0.112788
robust_goat,123,MegaTTS3,14,0.271161
robust_goat,123,MeloTTS,13,0.309132
robust_goat,123,Metavoice-1B,14,0.345422
robust_goat,123,Microsoft VibeVoice 1.5B,13,0.366317
robust_goat,123,Microsoft VibeVoice Large,17,0.237691
robust_goat,123,MiniCPM-o-2.6,20,0.348458
robust_goat,123,Nari Dia-1.6B,11,0.202693
robust_goat,123,Nari Dia2,11,0.264117
robust_goat,123,NeuTTS-Air,16,0.380231
robust_goat,123,OpenVoiceV2,15,0.192511
robust_goat,123,Openaudio-S1-Mini,25,0.367225
robust_goat,123,OuteTTS,22,0.365188
robust_goat,123,Qwen2.5-Omni,14,0.156152
robust_goat,123,RVC,14,0.356986
robust_goat,123,"Resemble.ai (April 12th, 2025)",18,0.294726
robust_goat,123,Ringg Squirrel TTS v1.0,18,0.057513
robust_goat,123,SoulX-Podcast,12,0.420888
robust_goat,123,Spark-TTS-0.5B,16,0.578056
robust_goat,123,Step-Audio-EditX,11,0.282839
robust_goat,123,Supertonic,16,0.074202
robust_goat,123,Veena,16,0.058232
robust_goat,123,VoxCPM-0.5B,23,0.387282
robust_goat,123,VoxCPM-1.5,14,0.515419
robust_goat,123,Voxtream,18,0.324706
robust_goat,123,WhisperSpeech,21,0.318649
robust_goat,123,ZipVoice,12,0.413179
robust_goat,123,e2-tts,16,0.374174
robust_goat,123,f5-tts,17,0.439913
robust_goat,123,facebook_mms-tts-eng,18,0.10952
robust_goat,123,griffin_lim,15,0.333517
robust_goat,123,kokoro,19,0.081817
robust_goat,123,microsoft_speecht5_tts,12,0.252753
robust_goat,123,minimax_speech-02-turbo,11,0.211504
robust_goat,123,minimax_speech-2.6-hd,12,0.250551
robust_goat,123,optispeech,14,0.102266
robust_goat,123,orpheus-tts-0.1-finetune,11,0.070785
robust_goat,123,parler_tts_large_v1,14,0.086375
robust_goat,123,parler_tts_mini_v0.1,17,0.118846
robust_goat,123,parler_tts_mini_v1,6,0.144457
robust_goat,123,sesame_csm,13,0.301974
robust_goat,123,suno_bark,14,0.207363
robust_goat,123,suno_bark-small,14,0.207363
robust_goat,123,vixTTS,16,0.39565
robust_goat,789,Cartesia.ai (Sonic-3),11,0.143773
robust_goat,789,Chatterbox,14,0.349276
robust_goat,789,DeepGram,9,0.11778
robust_goat,789,Edge-TTS,9,0.23501
robust_goat,789,FireRedTTS-2.0,16,0.509361
robust_goat,789,FishTTS,15,0.223642
robust_goat,789,Higgs-Audio-V2,23,0.394153
robust_goat,789,Index-TTS-1.5,15,0.562372
robust_goat,789,Index-TTS-2.0,17,0.423393
robust_goat,789,Indri-TTS-0.1,14,0.222231
robust_goat,789,Kani-TTS-370M,11,0.362986
robust_goat,789,Kitten-TTS-Nano-0.1,14,0.076463
robust_goat,789,Kitten-TTS-Nano-0.2,16,0.130782
robust_goat,789,Kyutai-TTS,19,0.259883
robust_goat,789,Llasa-1B-Multilingual,16,0.300523
robust_goat,789,Llasa-8B,18,0.268294
robust_goat,789,Mars5,16,0.386289
robust_goat,789,Marvis-TTS,5,0.171035
robust_goat,789,MatchaTTS,10,0.284912
robust_goat,789,Maya1 TTS,17,0.177993
robust_goat,789,MegaTTS3,14,0.194698
robust_goat,789,MeloTTS,13,0.31519
robust_goat,789,Metavoice-1B,14,0.431246
robust_goat,789,Microsoft VibeVoice 1.5B,13,0.403761
robust_goat,789,Microsoft VibeVoice Large,17,0.243748
robust_goat,789,MiniCPM-o-2.6,20,0.306388
robust_goat,789,Nari Dia-1.6B,11,0.307619
robust_goat,789,Nari Dia2,11,0.461304
robust_goat,789,NeuTTS-Air,16,0.33136
robust_goat,789,OpenVoiceV2,15,0.399339
robust_goat,789,Openaudio-S1-Mini,25,0.435859
robust_goat,789,OuteTTS,22,0.459101
robust_goat,789,Qwen2.5-Omni,14,0.313562
robust_goat,789,RVC,14,0.429043
robust_goat,789,"Resemble.ai (April 12th, 2025)",18,0.265541
robust_goat,789,Ringg Squirrel TTS v1.0,18,0.176946
robust_goat,789,SoulX-Podcast,12,0.236233
robust_goat,789,Spark-TTS-0.5B,16,0.406525
robust_goat,789,Step-Audio-EditX,11,0.276231
robust_goat,789,Supertonic,16,0.182957
robust_goat,789,Veena,16,0.111509
robust_goat,789,VoxCPM-0.5B,23,0.434902
robust_goat,789,VoxCPM-1.5,14,0.435651
robust_goat,789,Voxtream,18,0.39103
robust_goat,789,WhisperSpeech,21,0.378802
robust_goat,789,ZipVoice,12,0.429699
robust_goat,789,e2-tts,16,0.501652
robust_goat,789,f5-tts,17,0.341669
robust_goat,789,facebook_mms-tts-eng,18,0.175294
robust_goat,789,griffin_lim,15,0.410903
robust_goat,789,kokoro,19,0.163749
robust_goat,789,microsoft_speecht5_tts,12,0.255874
robust_goat,789,minimax_speech-02-turbo,11,0.181768
robust_goat,789,minimax_speech-2.6-hd,12,0.187225
robust_goat,789,optispeech,14,0.207363
robust_goat,789,orpheus-tts-0.1-finetune,11,0.085653
robust_goat,789,parler_tts_large_v1,14,0.212319
robust_goat,789,parler_tts_mini_v0.1,17,0.177993
robust_goat,789,parler_tts_mini_v1,6,0.183554
robust_goat,789,sesame_csm,13,0.312987
robust_goat,789,suno_bark,14,0.340466
robust_goat,789,suno_bark-small,14,0.418581
robust_goat,789,vixTTS,16,0.374174
robust_goat,1024,Cartesia.ai (Sonic-3),11,0.226372
robust_goat,1024,Chatterbox,14,0.433999
robust_goat,1024,DeepGram,9,0.200869
robust_goat,1024,Edge-TTS,9,0.180494
robust_goat,1024,FireRedTTS-2.0,16,0.510463
robust_goat,1024,FishTTS,15,0.332966
robust_goat,1024,Higgs-Audio-V2,23,0.514174
robust_goat,1024,Index-TTS-1.5,15,0.524376
robust_goat,1024,Index-TTS-2.0,17,0.321294
robust_goat,1024,Indri-TTS-0.1,14,0.13916
robust_goat,1024,Kani-TTS-370M,11,0.362435
robust_goat,1024,Kitten-TTS-Nano-0.1,14,0.059943
robust_goat,1024,Kitten-TTS-Nano-0.2,16,0.073651
robust_goat,1024,Kyutai-TTS,19,0.166502
robust_goat,1024,Llasa-1B-Multilingual,16,0.166988
robust_goat,1024,Llasa-8B,18,0.221243
robust_goat,1024,Mars5,16,0.302175
robust_goat,1024,Marvis-TTS,5,0.176542
robust_goat,1024,MatchaTTS,10,0.206828
robust_goat,1024,Maya1 TTS,17,0.109484
robust_goat,1024,MegaTTS3,14,0.129799
robust_goat,1024,MeloTTS,13,0.300873
robust_goat,1024,Metavoice-1B,14,0.220579
robust_goat,1024,Microsoft VibeVoice 1.5B,13,0.370171
robust_goat,1024,Microsoft VibeVoice Large,17,0.168081
robust_goat,1024,MiniCPM-o-2.6,20,0.304185
robust_goat,1024,Nari Dia-1.6B,11,0.201041
robust_goat,1024,Nari Dia2,11,0.291099
robust_goat,1024,NeuTTS-Air,16,0.311536
robust_goat,1024,OpenVoiceV2,15,0.210132
robust_goat,1024,Openaudio-S1-Mini,25,0.299317
robust_goat,1024,OuteTTS,22,0.414347
robust_goat,1024,Qwen2.5-Omni,14,0.230491
robust_goat,1024,RVC,14,0.226086
robust_goat,1024,"Resemble.ai (April 12th, 2025)",18,0.173091
robust_goat,1024,Ringg Squirrel TTS v1.0,18,0.170888
robust_goat,1024,SoulX-Podcast,12,0.342327
robust_goat,1024,Spark-TTS-0.5B,16,0.502753
robust_goat,1024,Step-Audio-EditX,11,0.275681
robust_goat,1024,Supertonic,16,0.074202
robust_goat,1024,Veena,16,0.099394
robust_goat,1024,VoxCPM-0.5B,23,0.406005
robust_goat,1024,VoxCPM-1.5,14,0.570957
robust_goat,1024,Voxtream,18,0.277655
robust_goat,1024,WhisperSpeech,21,0.281624
robust_goat,1024,ZipVoice,12,0.410977
robust_goat,1024,e2-tts,16,0.316492
robust_goat,1024,f5-tts,17,0.341669
robust_goat,1024,facebook_mms-tts-eng,18,0.110071
robust_goat,1024,griffin_lim,15,0.411454
robust_goat,1024,kokoro,19,0.107147
robust_goat,1024,microsoft_speecht5_tts,12,0.330764
robust_goat,1024,minimax_speech-02-turbo,11,0.177363
robust_goat,1024,minimax_speech-2.6-hd,12,0.157122
robust_goat,1024,optispeech,14,0.131451
robust_goat,1024,orpheus-tts-0.1-finetune,11,0.086203
robust_goat,1024,parler_tts_large_v1,14,0.127045
robust_goat,1024,parler_tts_mini_v0.1,17,0.124903
robust_goat,1024,parler_tts_mini_v1,6,0.157122
robust_goat,1024,sesame_csm,13,0.226618
robust_goat,1024,suno_bark,14,0.212319
robust_goat,1024,suno_bark-small,14,0.123741
robust_goat,1024,vixTTS,16,0.13739
goat,42,Cartesia.ai (Sonic-3),11,0.19168
goat,42,Chatterbox,14,0.206812
goat,42,DeepGram,9,0.112274
goat,42,Edge-TTS,9,0.203071
goat,42,FireRedTTS-2.0,16,0.364813
goat,42,FishTTS,15,0.337372
goat,42,Higgs-Audio-V2,23,0.344881
goat,42,Index-TTS-1.5,15,0.28091
goat,42,Index-TTS-2.0,17,0.189233
goat,42,Indri-TTS-0.1,14,0.079216
goat,42,Kani-TTS-370M,11,0.274579
goat,42,Kitten-TTS-Nano-0.1,14,0.071507
goat,42,Kitten-TTS-Nano-0.2,16,0.122522
goat,42,Kyutai-TTS,19,0.145027
goat,42,Llasa-1B-Multilingual,16,0.220402
goat,42,Llasa-8B,18,0.332966
goat,42,Mars5,16,0.297219
goat,42,Marvis-TTS,5,0.227203
goat,42,MatchaTTS,10,0.184802
goat,42,Maya1 TTS,17,0.20883
goat,42,MegaTTS3,14,0.138609
goat,42,MeloTTS,13,0.090224
goat,42,Metavoice-1B,14,0.136407
goat,42,Microsoft VibeVoice 1.5B,13,0.260124
goat,42,Microsoft VibeVoice Large,17,0.176892
goat,42,MiniCPM-o-2.6,20,0.29152
goat,42,Nari Dia-1.6B,11,0.152583
goat,42,Nari Dia2,11,0.264668
goat,42,NeuTTS-Air,16,0.251101
goat,42,OpenVoiceV2,15,0.11953
goat,42,Openaudio-S1-Mini,25,0.278216
goat,42,OuteTTS,22,0.317681
goat,42,Qwen2.5-Omni,14,0.210116
goat,42,RVC,14,0.191394
goat,42,"Resemble.ai (April 12th, 2025)",18,0.111723
goat,42,Ringg Squirrel TTS v1.0,18,0.086943
goat,42,SoulX-Podcast,12,0.260463
goat,42,Spark-TTS-0.5B,16,0.364813
goat,42,Step-Audio-EditX,11,0.165799
goat,42,Supertonic,16,0.04777
goat,42,Veena,16,0.06429
goat,42,VoxCPM-0.5B,23,0.383428
goat,42,VoxCPM-1.5,14,0.353682
goat,42,Voxtream,18,0.272149
goat,42,WhisperSpeech,21,0.276117
goat,42,ZipVoice,12,0.316446
goat,42,e2-tts,16,0.298871
goat,42,f5-tts,17,0.401367
goat,42,facebook_mms-tts-eng,18,0.121084
goat,42,griffin_lim,15,0.42522
goat,42,kokoro,19,0.057703
goat,42,microsoft_speecht5_tts,12,0.341777
goat,42,minimax_speech-02-turbo,11,0.061974
goat,42,minimax_speech-2.6-hd,12,0.093429
goat,42,optispeech,14,0.145768
goat,42,orpheus-tts-0.1-finetune,11,0.010463
goat,42,parler_tts_large_v1,14,0.092354
goat,42,parler_tts_mini_v0.1,17,0.194513
goat,42,parler_tts_mini_v1,6,0.141703
goat,42,sesame_csm,13,0.266732
goat,42,suno_bark,14,0.142464
goat,42,suno_bark-small,14,0.210116
goat,42,vixTTS,16,0.109857
goat,123,Cartesia.ai (Sonic-3),11,0.100521
goat,123,Chatterbox,14,0.365245
goat,123,DeepGram,9,0.135401
goat,123,Edge-TTS,9,0.194812
goat,123,FireRedTTS-2.0,16,0.639593
goat,123,FishTTS,15,0.413106
goat,123,Higgs-Audio-V2,23,0.482235
goat,123,Index-TTS-1.5,15,0.622981
goat,123,Index-TTS-2.0,17,0.481439
goat,123,Indri-TTS-0.1,14,0.140261
goat,123,Kani-TTS-370M,11,0.248148
goat,123,Kitten-TTS-Nano-0.1,14,0.074811
goat,123,Kitten-TTS-Nano-0.2,16,0.117015
goat,123,Kyutai-TTS,19,0.152736
goat,123,Llasa-1B-Multilingual,16,0.311536
goat,123,Llasa-8B,18,0.451297
goat,123,Mars5,16,0.367015
goat,123,Marvis-TTS,5,0.196366
goat,123,MatchaTTS,10,0.177643
goat,123,Maya1 TTS,17,0.201671
goat,123,MegaTTS3,14,0.246381
goat,123,MeloTTS,13,0.213953
goat,123,Metavoice-1B,14,0.295941
goat,123,Microsoft VibeVoice 1.5B,13,0.450483
goat,123,Microsoft VibeVoice Large,17,0.239894
goat,123,MiniCPM-o-2.6,20,0.297577
goat,123,Nari Dia-1.6B,11,0.170755
goat,123,Nari Dia2,11,0.288897
goat,123,NeuTTS-Air,16,0.309884
goat,123,OpenVoiceV2,15,0.269897
goat,123,Openaudio-S1-Mini,25,0.376211
goat,123,OuteTTS,22,0.460202
goat,123,Qwen2.5-Omni,14,0.366347
goat,123,RVC,14,0.223883
goat,123,"Resemble.ai (April 12th, 2025)",18,0.175844
goat,123,Ringg Squirrel TTS v1.0,18,0.151615
goat,123,SoulX-Podcast,12,0.340125
goat,123,Spark-TTS-0.5B,16,0.569246
goat,123,Step-Audio-EditX,11,0.256408
goat,123,Supertonic,16,0.110958
goat,123,Veena,16,0.111509
goat,123,VoxCPM-0.5B,23,0.475915
goat,123,VoxCPM-1.5,14,0.581498
goat,123,Voxtream,18,0.392682
goat,123,WhisperSpeech,21,0.379353
goat,123,ZipVoice,12,0.653267
goat,123,e2-tts,16,0.436261
goat,123,f5-tts,17,0.374935
goat,123,facebook_mms-tts-eng,18,0.171439
goat,123,griffin_lim,15,0.411454
goat,123,kokoro,19,0.147229
goat,123,microsoft_speecht5_tts,12,0.353341
goat,123,minimax_speech-02-turbo,11,0.14983
goat,123,minimax_speech-2.6-hd,12,0.18025
goat,123,optispeech,14,0.235997
goat,123,orpheus-tts-0.1-finetune,11,0.057018
goat,123,parler_tts_large_v1,14,0.13916
goat,123,parler_tts_mini_v0.1,17,0.127105
goat,123,parler_tts_mini_v1,6,0.13069
goat,123,sesame_csm,13,0.322899
goat,123,suno_bark,14,0.220579
goat,123,suno_bark-small,14,0.220028
goat,123,vixTTS,16,0.30658
goat,456,Cartesia.ai (Sonic-3),11,0.071886
goat,456,Chatterbox,14,0.420233
goat,456,DeepGram,9,0.111723
goat,456,Edge-TTS,9,0.219591
goat,456,FireRedTTS-2.0,16,0.54832
goat,456,FishTTS,15,0.347834
goat,456,Higgs-Audio-V2,23,0.39389
goat,456,Index-TTS-1.5,15,0.410903
goat,456,Index-TTS-2.0,17,0.461065
goat,456,Indri-TTS-0.1,14,0.080318
goat,456,Kani-TTS-370M,11,0.259712
goat,456,Kitten-TTS-Nano-0.1,14,0.067102
goat,456,Kitten-TTS-Nano-0.2,16,0.06429
goat,456,Kyutai-TTS,19,0.113204
goat,456,Llasa-1B-Multilingual,16,0.124174
goat,456,Llasa-8B,18,0.279307
goat,456,Mars5,16,0.309334
goat,456,Marvis-TTS,5,0.120925
goat,456,MatchaTTS,10,0.294273
goat,456,Maya1 TTS,17,0.127105
goat,456,MegaTTS3,14,0.296492
goat,456,MeloTTS,13,0.121527
goat,456,Metavoice-1B,14,0.285478
goat,456,Microsoft VibeVoice 1.5B,13,0.287657
goat,456,Microsoft VibeVoice Large,17,0.119396
goat,456,MiniCPM-o-2.6,20,0.360573
goat,456,Nari Dia-1.6B,11,0.160292
goat,456,Nari Dia2,11,0.242091
goat,456,NeuTTS-Air,16,0.167539
goat,456,OpenVoiceV2,15,0.213436
goat,456,Openaudio-S1-Mini,25,0.365573
goat,456,OuteTTS,22,0.321536
goat,456,Qwen2.5-Omni,14,0.228288
goat,456,RVC,14,0.316866
goat,456,"Resemble.ai (April 12th, 2025)",18,0.116679
goat,456,Ringg Squirrel TTS v1.0,18,0.067976
goat,456,SoulX-Podcast,12,0.357746
goat,456,Spark-TTS-0.5B,16,0.600496
goat,456,Step-Audio-EditX,11,0.25861
goat,456,Supertonic,16,0.06429
goat,456,Veena,16,0.066492
goat,456,VoxCPM-0.5B,23,0.314619
goat,456,VoxCPM-1.5,14,0.40151
goat,456,Voxtream,18,0.394334
goat,456,WhisperSpeech,21,0.371093
goat,456,ZipVoice,12,0.337372
goat,456,e2-tts,16,0.376927
goat,456,f5-tts,17,0.437711
goat,456,facebook_mms-tts-eng,18,0.056963
goat,456,griffin_lim,15,0.481681
goat,456,kokoro,19,0.056602
goat,456,microsoft_speecht5_tts,12,0.252753
goat,456,minimax_speech-02-turbo,11,0.06638
goat,456,minimax_speech-2.6-hd,12,0.260463
goat,456,optispeech,14,0.120437
goat,456,orpheus-tts-0.1-finetune,11,0.068032
goat,456,parler_tts_large_v1,14,0.15568
goat,456,parler_tts_mini_v0.1,17,0.143852
goat,456,parler_tts_mini_v1,6,0.117474
goat,456,sesame_csm,13,0.243689
goat,456,suno_bark,14,0.232694
goat,456,suno_bark-small,14,0.143565
goat,456,vixTTS,16,0.238436
goat,789,Cartesia.ai (Sonic-3),11,0.161394
goat,789,Chatterbox,14,0.348726
goat,789,DeepGram,9,0.12604
goat,789,Edge-TTS,9,0.362151
goat,789,FireRedTTS-2.0,16,0.646751
goat,789,FishTTS,15,0.325257
goat,789,Higgs-Audio-V2,23,0.437656
goat,789,Index-TTS-1.5,15,0.656021
goat,789,Index-TTS-2.0,17,0.400816
goat,789,Indri-TTS-0.1,14,0.220028
goat,789,Kani-TTS-370M,11,0.365739
goat,789,Kitten-TTS-Nano-0.1,14,0.070957
goat,789,Kitten-TTS-Nano-0.2,16,0.189565
goat,789,Kyutai-TTS,19,0.208787
goat,789,Llasa-1B-Multilingual,16,0.247247
goat,789,Llasa-8B,18,0.324156
goat,789,Mars5,16,0.31484
goat,789,Marvis-TTS,5,0.429626
goat,789,MatchaTTS,10,0.294273
goat,789,Maya1 TTS,17,0.159821
goat,789,MegaTTS3,14,0.370201
goat,789,MeloTTS,13,0.266816
goat,789,Metavoice-1B,14,0.353131
goat,789,Microsoft VibeVoice 1.5B,13,0.373475
goat,789,Microsoft VibeVoice Large,17,0.221722
goat,789,MiniCPM-o-2.6,20,0.310793
goat,789,Nari Dia-1.6B,11,0.238236
goat,789,Nari Dia2,11,0.457449
goat,789,NeuTTS-Air,16,0.263767
goat,789,OpenVoiceV2,15,0.269897
goat,789,Openaudio-S1-Mini,25,0.400991
goat,789,OuteTTS,22,0.462405
goat,789,Qwen2.5-Omni,14,0.27887
goat,789,RVC,14,0.393329
goat,789,"Resemble.ai (April 12th, 2025)",18,0.278757
goat,789,Ringg Squirrel TTS v1.0,18,0.103463
goat,789,SoulX-Podcast,12,0.217511
goat,789,Spark-TTS-0.5B,16,0.436812
goat,789,Step-Audio-EditX,11,0.25035
goat,789,Supertonic,16,0.124725
goat,789,Veena,16,0.118117
goat,789,VoxCPM-0.5B,23,0.391137
goat,789,VoxCPM-1.5,14,0.449418
goat,789,Voxtream,18,0.325257
goat,789,WhisperSpeech,21,0.387062
goat,789,ZipVoice,12,0.324706
goat,789,e2-tts,16,0.437362
goat,789,f5-tts,17,0.406874
goat,789,facebook_mms-tts-eng,18,0.152717
goat,789,griffin_lim,15,0.413656
goat,789,kokoro,19,0.14778
goat,789,microsoft_speecht5_tts,12,0.175844
goat,789,minimax_speech-02-turbo,11,0.207099
goat,789,minimax_speech-2.6-hd,12,0.260463
goat,789,optispeech,14,0.222231
goat,789,orpheus-tts-0.1-finetune,11,0.072988
goat,789,parler_tts_large_v1,14,0.20461
goat,789,parler_tts_mini_v0.1,17,0.238242
goat,789,parler_tts_mini_v1,6,0.203928
goat,789,sesame_csm,13,0.248094
goat,789,suno_bark,14,0.426841
goat,789,suno_bark-small,14,0.393329
goat,789,vixTTS,16,0.371421
goat,1024,Cartesia.ai (Sonic-3),11,0.093913
goat,1024,Chatterbox,14,0.287681
goat,1024,DeepGram,9,0.02533
goat,1024,Edge-TTS,9,0.233908
goat,1024,FireRedTTS-2.0,16,0.549422
goat,1024,FishTTS,15,0.32746
goat,1024,Higgs-Audio-V2,23,0.562368
goat,1024,Index-TTS-1.5,15,0.644714
goat,1024,Index-TTS-2.0,17,0.336162
goat,1024,Indri-TTS-0.1,14,0.139711
goat,1024,Kani-TTS-370M,11,0.23328
goat,1024,Kitten-TTS-Nano-0.1,14,0.057741
goat,1024,Kitten-TTS-Nano-0.2,16,0.110407
goat,1024,Kyutai-TTS,19,0.114856
goat,1024,Llasa-1B-Multilingual,16,0.159967
goat,1024,Llasa-8B,18,0.257281
goat,1024,Mars5,16,0.360407
goat,1024,Marvis-TTS,5,0.162225
goat,1024,MatchaTTS,10,0.10837
goat,1024,Maya1 TTS,17,0.121599
goat,1024,MegaTTS3,14,0.14742
goat,1024,MeloTTS,13,0.217808
goat,1024,Metavoice-1B,14,0.27887
goat,1024,Microsoft VibeVoice 1.5B,13,0.415325
goat,1024,Microsoft VibeVoice Large,17,0.182398
goat,1024,MiniCPM-o-2.6,20,0.294824
goat,1024,Nari Dia-1.6B,11,0.162495
goat,1024,Nari Dia2,11,0.270174
goat,1024,NeuTTS-Air,16,0.247797
goat,1024,OpenVoiceV2,15,0.301579
goat,1024,Openaudio-S1-Mini,25,0.242797
goat,1024,OuteTTS,22,0.413246
goat,1024,Qwen2.5-Omni,14,0.201857
goat,1024,RVC,14,0.228839
goat,1024,"Resemble.ai (April 12th, 2025)",18,0.154369
goat,1024,Ringg Squirrel TTS v1.0,18,0.124388
goat,1024,SoulX-Podcast,12,0.367107
goat,1024,Spark-TTS-0.5B,16,0.566905
goat,1024,Step-Audio-EditX,11,0.201041
goat,1024,Supertonic,16,0.073651
goat,1024,Veena,16,0.172494
goat,1024,VoxCPM-0.5B,23,0.328385
goat,1024,VoxCPM-1.5,14,0.433449
goat,1024,Voxtream,18,0.38222
goat,1024,WhisperSpeech,21,0.430695
goat,1024,ZipVoice,12,0.377386
goat,1024,e2-tts,16,0.311536
goat,1024,f5-tts,17,0.410728
goat,1024,facebook_mms-tts-eng,18,0.115578
goat,1024,griffin_lim,15,0.372907
goat,1024,kokoro,19,0.103843
goat,1024,microsoft_speecht5_tts,12,0.31975
goat,1024,minimax_speech-02-turbo,11,0.052062
goat,1024,minimax_speech-2.6-hd,12,0.162628
goat,1024,optispeech,14,0.086375
goat,1024,orpheus-tts-0.1-finetune,11,0.055917
goat,1024,parler_tts_large_v1,14,0.143565
goat,1024,parler_tts_mini_v0.1,17,0.168081
goat,1024,parler_tts_mini_v1,6,0.153267
goat,1024,sesame_csm,13,0.153465
goat,1024,suno_bark,14,0.210667
goat,1024,suno_bark-small,14,0.185887
goat,1024,vixTTS,16,0.181856
